md5,prop,value,book_id,title,opening,opening_prop,isbn,author,publisher,year,ratings,pages,genre,end,format,flag_ya,flag_children,address,approach,characterList,dialogue,metaphor,nounList,pov,question,settingCategorical,settingDescribed,settingSpecific,shift,simile,subject,tense,timePeriodCategorical,timePeriodSpecific
0065A567194ED84CA5BF2A6C7BA284E1,subjective,"It became their motto, and Jonesy couldn’t for the life of him remember which of them started saying it first. Payback's a bitch, that was his.",11570.dreamcatcher,Dreamcatcher,"It became their motto, and Jonesy couldn’t for the life of him remember which of them started saying it first. Payback's a bitch, that was his.",subjective,9780743211383,Stephen King,Scribner,,157755,688,Horror|Fiction|Science Fiction|Thriller|Fantasy|Science Fiction|Aliens|Fantasy|Supernatural|Mystery|Fantasy|Paranormal|Suspense,"Then they walked down the steps and across the lawn side by side, Jonesy limping, Henry with the sleeping child in his arms, and for that moment the only darkness was their shadows trailing behind them on the grass.",epub,false,false,false,mixed,Jonesy,dialogue with narration,true,,third person,false,,false,,,false,it,past,,
006D595C5C72B6DE6E9DF0DF4B2B5EF0,first_cut,"The tower, which was not supposed to be there, plunges into the earth in a place just before the black pine forest begins to give way to swamp and then the reeds and wind-gnarled trees of the marsh flats.",17934530-annihilation,"Annihilation (Southern Reach, #1)","The tower, which was not supposed to be there, plunges into the earth in a place just before the black pine forest begins to give way to swamp and then the reeds and wind-gnarled trees of the marsh flats.",first_cut,9780374104092,Jeff VanderMeer|Jeff VanderMeer (Goodreads Author),FSG Originals,,153940,195,"fiction|fantasy, paranormal|mystery, thriller, crime|Science Fiction|Fiction|Horror|Fantasy|Mystery|Dystopia|Audiobook|Science Fiction Fantasy|Adult|Thriller",I am not returning home.,epub,false,false,false,description,,none,false,,third person,false,forest | swamp | marsh,true,black pine forest | marsh flats,,false,it,present,,
00D3C544C5FD87C77B8B9CB6D8A98DE6,subjective,OK. Don't panic. Everything’s going to be fine. Of course it is. Of course it is.,9420.shopaholic_baby,"Shopaholic & Baby (Shopaholic, #5)",OK. Don't panic. Everything’s going to be fine. Of course it is. Of course it is.,subjective,9780385338707,Sophie Kinsella|Sophie Kinsella (Goodreads Author),Dial Press,,120062,359,fiction|romance|young-adult|Chick Lit|Fiction|Romance|Contemporary|Humor|Adult|Comedy|Adult Fiction|British Literature|Contemporary Romance,I’m the Mother with the Fabbest Baby in the World. And we’re going to have a blast. I know it.,epub,true,false,false,dialogue,,only dialogue,false,,unclear,false,,false,,,false,it,present,,
00D3EB88EA4CF2A01E7CC9F35BECA6B2,first_cut,Dr Strauss says I shoud rite down what I think and remembir and evrey thing that happins to me from now on.,36576608-flowers-for-algernon,Flowers for Algernon,Dr Strauss says I shoud rite down what I think and remembir and evrey thing that happins to me from now on.,first_cut,9780156030304,Daniel Keyes,Mariner Books,1959,478318,216,Fiction|Classics|Science Fiction|Young Adult|Literature|Psychology|School|Novels|Adult|Read For School,Goodby Miss Kinnian and dr Strauss and evrybody...,epub,true,false,false,description,Dr Strauss,dialogue with narration,false,,first person,false,,false,,,false,I,present,,
00D5A20AD5084667EC15C558600B04CE,first_cut,"Wrath walked into the hall, feeling particularly ferocious.",42899.dark_lover,"Dark Lover (Black Dagger Brotherhood, #1)","Wrath walked into the hall, feeling particularly ferocious.",first_cut,9780451216953,J.R. Ward|J.R. Ward (Goodreads Author),Penguin Group (USA),,289077,393,"romance|fantasy, paranormal|fiction|Romance|Paranormal|Vampires|Paranormal Romance|Fantasy|Urban Fantasy|Adult|Fiction|Supernatural|Erotica",Help from the Omega was more terrifying than any death sentence.,epub,false,false,false,action,Wrath,none,false,,third person,false,building,false,hall,,false,he/she,past,,
011417284B0DD12C1B4A918B19CB3D64,normal,"We only have a few hours, so listen carefully.
",7090447-the-red-pyramid,"The Red Pyramid (Kane Chronicles, #1)","We only have a few hours, so listen carefully.
",normal,9781423113386,Rick Riordan|Rick Riordan (Goodreads Author),Disney-Hyperion,,318529,516,"fantasy, paranormal|young-adult|fiction|children|mystery, thriller, crime|romance|history, historical fiction, biography|Fantasy|Young Adult|Mythology|Middle Grade|Adventure|Fiction|Childrens|Magic|Urban Fantasy|Science Fiction Fantasy",Come to Brooklyn. We’ll be waiting.,epub,true,true,true,action,,none,false,,first person,false,,false,,,false,I,present,,
01615FD65BFD3E45C08CFB102119A413,first_cut,The boy with fair hair lowered himself down the last few feet of rock and began to pick his way toward the lagoon.,7624.lord_of_the_flies,Lord of the Flies,The boy with fair hair lowered himself down the last few feet of rock and began to pick his way toward the lagoon.,first_cut,9780140283334,William Golding,Penguin Books,,2263259,182,"fiction|young-adult|fantasy, paranormal|history, historical fiction, biography|children|mystery, thriller, crime|Classics|Fiction|Young Adult|School|Literature|Dystopia|Read For School|Novels|High School|Adventure","Ralph wept for the end of innocence, the darkness of man's heart, and the fall through the air of the true, wise friend called Piggy.",epub,true,true,false,action,,none,false,,third person,false,natural environment,true,rock | lagoon,,false,he/she,past,,
01B1165334132781AFBCBD44BB380540,first_cut,"I have a meanness inside me, real as an organ.",5886881-dark-places,Dark Places,"I have a meanness inside me, real as an organ.",first_cut,9780307341563,Gillian Flynn|Gillian Flynn (Goodreads Author),Shaye Areheart Books,,578176,349,"mystery, thriller, crime|fiction|Mystery|Fiction|Thriller|Crime|Mystery Thriller|Suspense|Adult|Audiobook|Contemporary|Adult Fiction",Just listen to the quiet.,epub,true,true,false,description,,none,false,,first person,false,,false,,,true,I,present,,
01CF292ED09E347910423736C2BEBA14,first_cut,Everyone now knows how to find the meaning of life within himself.,4982.the_sirens_of_titan,The Sirens of Titan,Everyone now knows how to find the meaning of life within himself.,first_cut,9781857988840,Kurt Vonnegut Jr.,Gollancz,,114778,224,"fiction|fantasy, paranormal|Science Fiction|Fiction|Classics|Humor|Literature|Novels|Fantasy|Science Fiction Fantasy|American|20th Century","""but somebody up there likes you.""",epub,false,false,false,description,,none,false,,third person,false,,false,,,false,other,present,,
0223C82C6A7DEBD7F054512E7C525516,first_cut,"The hottest day of the summer so far was drawing to a close and a drowsy silence lay over the large, square houses of Privet Drive.",2.harry_potter_and_the_order_of_the_phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","The hottest day of the summer so far was drawing to a close and a drowsy silence lay over the large, square houses of Privet Drive.",first_cut,9780439358071,"J.K. Rowling|J.K. Rowling, Mary GrandPré (Illustrator)",Scholastic Inc.,,2507623,870,"fantasy, paranormal|children|fiction|young-adult|mystery, thriller, crime|romance|Fantasy|Young Adult|Fiction|Magic|Childrens|Adventure|Audiobook|Middle Grade|Classics|Science Fiction Fantasy",,epub,true,true,false,description,,none,false,Privet Drive,third person,false,residential,true,Privet Drive,,false,other,past,summer,day
022C6B933A3D9CD652D859BC83DF6D69,first_cut,Aragorn sped on up the hill.,15241.the_two_towers,"The Two Towers (The Lord of the Rings, #2)",Aragorn sped on up the hill.,first_cut,9780618346264,"J.R.R. Tolkien|J.R.R. Tolkien, Peter S. Beagle (Goodreads Author) (Introduction)",,,719647,322,"fantasy, paranormal|fiction|young-adult|Fantasy|Fiction|Classics|Adventure|Science Fiction Fantasy|High Fantasy|Epic Fantasy|Novels|Literature|Magic",Frodo was alive but taken by the Enemy.,epub,true,false,false,action,Aragorn,none,false,,third person,false,hill,false,,,false,he/she,past,,
025FF15DFDD8EDFFD3015329AC2D21F4,llama_cut,"Mr. Jones, of the Manor Farm, had locked the hen-houses for the night, but was too drunk to remember to shut the popholes.",170448.animal_farm,Animal Farm,"Mr. Jones, of the Manor Farm, had locked the hen-houses for the night, but was too drunk to remember to shut the popholes.",llama_cut,9780451526342,"George Orwell|George Orwell,Russell Baker,C.M. Woodhouse",Signet Classics,1945,2938072,141,Classics|Fiction|Dystopia|Fantasy|Literature|Politics|School|Science Fiction|Novels|Read For School|Academic,"The creatures outside looked from pig to man, and from man to pig, and from pig to man again; but already it was impossible to say which was which.",epub,false,false,false,action,Mr. Jones,none,false,Manor Farm,third person,false,farm,false,hen-houses | popholes,,false,he/she,past,night,
02DBE15AB34C5493BC4D7211C2DB328C,first_cut,Mrs Ferrars died on the night of the 16th17th September – a Thursday.,16328.the_murder_of_roger_ackroyd,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Mrs Ferrars died on the night of the 16th17th September – a Thursday.,first_cut,9781579126278,Agatha Christie,Black Dog & Leventhal Publishers,,174037,288,"mystery, thriller, crime|fiction|history, historical fiction, biography|Mystery|Fiction|Classics|Crime|Mystery Thriller|Detective|Thriller|British Literature|Audiobook|Murder Mystery|European Literature",But I wish Hercule Poirot had never retired from work and come here to grow vegetable marrows.,epub,false,false,false,description,Mrs Ferrars,none,false,,third person,false,,false,,,false,person,past,,night of the 16th17th September | Thursday
02DC81C865F38ACFA40D2F78EF5F78E1,llama_cut,My mother drove me to the airport with the windows rolled down.,41865.twilight,"Twilight (Twilight, #1)",My mother drove me to the airport with the windows rolled down.,llama_cut,9780316015844,Stephenie Meyer,"Little, Brown and Company",,4964519,501,"young-adult|fantasy, paranormal|fiction|romance|Young Adult|Fantasy|Romance|Vampires|Fiction|Paranormal|Paranormal Romance|Supernatural|Teen|Urban Fantasy",Enough for forever.,epub,true,false,false,action,,none,false,airport,first person,false,transportation,false,airport,,false,I,past,,
