md5,prop,value,book_id,title,opening,opening_prop,isbn,author,publisher,year,ratings,pages,genre,end,format,flag_ya,flag_children,address,approach,characterList,dialogue,metaphor,nounList,pov,question,settingCategorical,settingDescribed,settingSpecific,shift,simile,subject,tense,timePeriodCategorical,timePeriodSpecific
02FABD7D7496BC71E78FF1155D1D6555,normal,"If you really want to hear about it, the first thing you’ll probably want to know is where I was born, an what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield kind of crap, but I don’t feel like going into it, if you want to know the truth.",5107.the_catcher_in_the_rye,The Catcher in the Rye,"If you really want to hear about it, the first thing you’ll probably want to know is where I was born, an what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield kind of crap, but I don’t feel like going into it, if you want to know the truth.",normal,9780316769174,J.D. Salinger,Back Bay Books,,2736523,277,"fiction|young-adult|history, historical fiction, biography|Classics|Fiction|Young Adult|Literature|School|Novels|Coming Of Age|American|High School|Read For School","Even old Stradlater and Ackley, for instance.",epub,true,false,true,description,,dialogue with narration,false,David Copperfield,first person,false,,false,,,false,I,present,,
030573C9629BFEA5EB4161E378FFBBF4,normal,"As the Manager of Performance sits before the curtain on the boards, and looks into the Fair, a feeling of profound melancholy comes over him in his survey of the bustling place.",5797.vanity_fair,Vanity Fair,"As the Manager of Performance sits before the curtain on the boards, and looks into the Fair, a feeling of profound melancholy comes over him in his survey of the bustling place.",normal,9780141439839,"William Makepeace Thackeray|William Makepeace Thackeray, John Carey (Editor/Introduction)",Penguin Books,,118061,867,"fiction|history, historical fiction, biography|romance|Classics|Fiction|Historical Fiction|Literature|19th Century|British Literature|Victorian|Romance|Classic Literature|Novels",,epub,false,false,false,description,,none,false,Manager of Performance | Fair,third person,false,theater,true,boards | curtain,,false,he/she,present,,
03194EB83AD2076CB61CF7C11199F7FA,first_cut,"On the day Emma Carstairs’s parents were killed, the weather was perfect.",8755785-city-of-heavenly-fire,"City of Heavenly Fire (The Mortal Instruments, #6)","On the day Emma Carstairs’s parents were killed, the weather was perfect.",first_cut,9781481426305,Cassandra Clare|Cassandra Clare (Goodreads Author),Margaret K. McElderry,,288767,725,"fantasy, paranormal|young-adult|romance|fiction|Fantasy|Young Adult|Romance|Paranormal|Urban Fantasy|Vampires|Angels|Fiction|Magic|Supernatural","“Freely we serve Because we freely love, as in our will To love or not; in this we stand or fall.”",epub,true,false,false,description,Emma Carstairs,none,false,,third person,false,,false,,,false,other,past,,the day Emma Carstairs’s parents were killed
03258DC40D19EE8638C8C23754C3C8D8,normal,"The screw through Cinder's ankle had rusted, the engraved cross marks worn to a mangled circle.",36381037-cinder,Cinder,"The screw through Cinder's ankle had rusted, the engraved cross marks worn to a mangled circle.",normal,9781250007209,Marissa Meyer,Feiwel & Friends,,682555,400,Young Adult|Fantasy|Science Fiction|Romance|Dystopia|Retellings|Fiction|Fairy Tales|Audiobook|Young Adult Fantasy,,epub,true,false,false,description,Cinder,none,false,,third person,false,,false,,,false,it,past,,
036BFE8A2C3B6B1B827C32E2D86CA4FC,normal,Clare: It’s hard being left behind.,18619684-the-time-traveler-s-wife,The Time Traveler's Wife,Clare: It’s hard being left behind.,normal,9781939126016,Audrey Niffenegger,Zola Books,2003,1573857,500,Fiction|Romance|Fantasy|Time Travel|Science Fiction|Contemporary|Adult|Chick Lit|Adult Fiction|Magical Realism,But I can’t tell him. It’s already too late.,epub,false,false,false,dialogue,Clare,only dialogue,false,,third person,false,,false,,,false,it,present,,
0384E285EB08AA61D6F77CF69551724E,llama_cut,I awake every morning with ink on my hands.,33396914-assassin-s-quest,Assassin's Quest,I awake every morning with ink on my hands.,llama_cut,9780553565690,Robin Hobb,Spectra,1997,118179,757,Fantasy|Fiction|Epic Fantasy|High Fantasy|Adventure|Dragons|Science Fiction Fantasy|Magic|Audiobook|Epic,We dream of carving our dragon.,epub,false,false,false,description,,none,false,,first person,false,,false,,,false,I,present,morning,
03890A9EDA8BA29AE72ACA6626476737,gemma_cut,"Lately, I’ve been spending a lot of time rolling on the ground with men who think a stiffy represents personal growth.",6425.hard_eight,"Hard Eight (Stephanie Plum, #8)","Lately, I’ve been spending a lot of time rolling on the ground with men who think a stiffy represents personal growth.",gemma_cut,9780312983864,"Janet Evanovich|Janet Evanovich (Goodreads Author), Lorelei King (Narrator)",,,111648,326,"mystery, thriller, crime|fiction|romance|Mystery|Fiction|Humor|Chick Lit|Romance|Crime|Comedy|Mystery Thriller|Contemporary|Adult","Finally, a sport I could enjoy.",epub,false,true,false,description,,none,false,,first person,false,,false,,,false,I,present,,
03C57320E36400AE464E055CFDC18BFB,normal,"I am doomed to remember a boy with a wrecked voice-not because of his voice, or because he was the smallest person I ever knew, or even because he was the instrument of my mother’s death, but because he is the reason I believe in God; I am a Christian because of Owen Meany.",4473.a_prayer_for_owen_meany,A Prayer for Owen Meany,"I am doomed to remember a boy with a wrecked voice-not because of his voice, or because he was the smallest person I ever knew, or even because he was the instrument of my mother’s death, but because he is the reason I believe in God; I am a Christian because of Owen Meany.",normal,9780552135399,John Irving|John Irving (Goodreads Author),Black Swan,,285954,637,"fiction|history, historical fiction, biography|Fiction|Classics|Contemporary|Literature|Literary Fiction|Novels|Historical Fiction|Adult Fiction|Coming Of Age|American",O God-please give him back! I shall keep asking You.,epub,false,false,false,description,Owen Meany,none,false,God | Christian,first person,false,,false,,,false,I,present,,
041AC699AAB0364010F08FD55F65D142,llama_cut,"When I stepped out into the bright sunlight from the darkness of the movie house, I had only two things on my mind: Paul Newman and a ride home.",231804.the_outsiders,The Outsiders,"When I stepped out into the bright sunlight from the darkness of the movie house, I had only two things on my mind: Paul Newman and a ride home.",llama_cut,9780140385724,S.E. Hinton|S.E. Hinton (Goodreads Author),,,938150,192,"fiction|young-adult|history, historical fiction, biography|children|mystery, thriller, crime|Classics|Young Adult|Fiction|School|Realistic Fiction|Read For School|Coming Of Age|Historical Fiction|Contemporary|Teen","When I stepped out into the bright sunlight from the darkness of the movie house, I had only two things on my mind: Paul Newman and a ride home...",epub,true,true,false,description,Paul Newman,none,false,,first person,false,building,true,movie house,,false,I,past,,
041F300D836EB156C021746D6214DEEC,first_cut,"It has been sixty-four years since the president and the Consortium identified love as a disease, and forty-three since the scientists perfected a cure.",11614718-delirium,"Delirium (Delirium, #1)","It has been sixty-four years since the president and the Consortium identified love as a disease, and forty-three since the scientists perfected a cure.",first_cut,9780061726835,Lauren Oliver|Lauren Oliver (Goodreads Author),HarperCollins,,434171,441,"young-adult|romance|fiction|fantasy, paranormal|Young Adult|Dystopia|Romance|Science Fiction|Fantasy|Fiction|Teen|Audiobook|Love|Post Apocalyptic|Apocalyptic",I love you. Remember. They cannot take it.,epub,true,false,false,description,,none,false,Consortium,third person,false,,false,,,false,it,past,,sixty-four years | forty-three years
04337418368EB6EEB94C0AB525303A8B,first_cut,"Elaida do Avriny a’Roihan absently fingered the long, sevenstriped stole about her shoulders, the stole of the Amyrlin Seat, as she sat behind her wide writing table.",13895.the_fires_of_heaven,"The Fires of Heaven (Wheel of Time, #5)","Elaida do Avriny a’Roihan absently fingered the long, sevenstriped stole about her shoulders, the stole of the Amyrlin Seat, as she sat behind her wide writing table.",first_cut,9781857232097,Robert Jordan,,,147962,912,"fantasy, paranormal|fiction|romance|Fantasy|Fiction|Epic Fantasy|Science Fiction Fantasy|High Fantasy|Epic|Audiobook|Adventure|Magic|Adult|Young Adult",And the Glory of the Light did shine upon him.,epub,true,false,false,description,Elaida do Avriny a’Roihan,none,false,Amyrlin Seat,third person,false,indoor,true,writing table,,false,he/she,past,,
045642F9555885B4EC81466839585ED6,normal,"Once when I was in ninth grade, I had to write a paper on a poem. ",5996153-blood-promise,"Blood Promise (Vampire Academy, #4)","Once when I was in ninth grade, I had to write a paper on a poem. ",normal,9781595141989,Richelle Mead|Richelle Mead (Goodreads Author),Penguin Razorbill,,276134,503,"young-adult|fantasy, paranormal|romance|fiction|mystery, thriller, crime|Young Adult|Vampires|Fantasy|Paranormal|Romance|Urban Fantasy|Paranormal Romance|Supernatural|Fiction|Magic",,epub,true,false,false,description,,none,false,,first person,false,,false,,,false,I,past,,ninth grade
04D8B020D40FBCB9AA26FB77D5B49AD4,first_cut,Once upon a time and a very good time it was there was a moocow coming down along the road and this moocow that was coming down along the road met a nicens little boy named baby tuckoo...,7588.a_portrait_of_the_artist_as_a_young_man,A Portrait of the Artist as a Young Man,Once upon a time and a very good time it was there was a moocow coming down along the road and this moocow that was coming down along the road met a nicens little boy named baby tuckoo...,first_cut,9780142437346,James Joyce,Penguin Classics,1916,128028,329,Classics|Fiction|Literature|Irish Literature|Ireland|Novels|20th Century|School|Literary Fiction|Classic Literature,"Welcome, O life, I go to encounter for the millionth time the reality of experience and to forge in the smithy of my soul the uncreated conscience of my race.",epub,false,false,false,description,baby tuckoo,none,false,moocow,third person,false,road,false,road,,false,it,past,once upon a time,
053B3804D2BF28793FB9B379C457FE19,first_cut,"Wind howled through the night, carrying a scent that would change the world.",113436.eragon,"Eragon (The Inheritance Cycle, #1)","Wind howled through the night, carrying a scent that would change the world.",first_cut,9780375826696,Christopher Paolini|Christopher Paolini (Goodreads Author),,,1506769,503,"fantasy, paranormal|young-adult|fiction|children|romance|Fantasy|Young Adult|Fiction|Dragons|Adventure|Magic|High Fantasy|Science Fiction Fantasy|Young Adult Fantasy|Childrens",I will come.,epub,true,true,false,description,,none,false,,third person,false,,false,,,false,it,past,,
053FC8DDF564332D9A49BEDBDDAFDAD4,normal,"The Charles Lindbergh farmhouse glowed with bright, orangish lights.",13145.along_came_a_spider,"Along Came a Spider (Alex Cross, #1)","The Charles Lindbergh farmhouse glowed with bright, orangish lights.",normal,9780446692632,James Patterson|James Patterson (Goodreads Author),Grand Central Publishing,,416306,449,"mystery, thriller, crime|fiction|Mystery|Fiction|Thriller|Crime|Suspense|Mystery Thriller|Detective|Adult|Murder Mystery|Audiobook",Checkmate.,epub,false,false,false,description,,none,false,Charles Lindbergh farmhouse,third person,false,building,true,farmhouse,,false,it,past,,
055C5C00EAEB58E612B73376CE31325C,normal,"""Goddamn it, Zsadist! Don't jump—"" Phury's voice barely carried over the sound of the car crash in front of them. ",42900.lover_awakened,"Lover Awakened (Black Dagger Brotherhood, #3)","""Goddamn it, Zsadist! Don't jump—"" Phury's voice barely carried over the sound of the car crash in front of them. ",normal,9780451219367,J.R. Ward|J.R. Ward (Goodreads Author),Signet,,161481,448,"fantasy, paranormal|romance|fiction|Romance|Paranormal|Vampires|Paranormal Romance|Fantasy|Urban Fantasy|Adult|Fiction|Erotica|Supernatural","""Bella… And Nalla.""",epub,false,false,false,mixed,Zsadist | Phury,dialogue with narration,false,,third person,false,,false,,,false,other,past,,
05BA2A44317BB950403D0A8715DB68F5,first_cut,Marsh is not swamp.,36809135-where-the-crawdads-sing,Where the Crawdads Sing,Marsh is not swamp.,first_cut,9780735219113,Delia Owens,G.P. Putnam’s Sons,,975284,384,Fiction|Historical Fiction|Mystery|Audiobook|Adult|Book Club|Romance|Adult Fiction|Historical|Coming Of Age,"Way out yonder, where the crawdads sing.",epub,false,false,false,description,,none,false,Marsh,third person,false,,false,,,false,it,present,,
060820BF082B128EE4C3818B3955714C,llama_cut,"The ornate script on the board twisted in the candlelight, making the letters and numbers dance in my head.",11408650-the-unbecoming-of-mara-dyer,The Unbecoming of Mara Dyer,"The ornate script on the board twisted in the candlelight, making the letters and numbers dance in my head.",llama_cut,9781442421769,Michelle Hodkin,Simon & Schuster Books for Young Readers,,161205,456,Young Adult|Paranormal|Fantasy|Romance|Mystery|Fiction|Supernatural|Horror|Contemporary|Paranormal Romance,It was that Jude was still alive.,epub,true,false,false,description,,none,true,,first person,false,,false,,,false,other,past,,
062B5B291B1E950CF5603AEFBAE5426F,normal,"Dad had Uncle Eddie round, so naturally they had to come and see what I was up to. ",402013.angus_thongs_and_full_frontal_snogging,"Angus, Thongs and Full-Frontal Snogging (Confessions of Georgia Nicolson, #1)","Dad had Uncle Eddie round, so naturally they had to come and see what I was up to. ",normal,9780060288143,Louise Rennison,HarperCollins Children's Books,,129202,247,young-adult|fiction|romance|children|Young Adult|Humor|Fiction|Romance|Contemporary|Chick Lit|Teen|Realistic Fiction|Childrens|Comedy,,epub,true,true,false,action,Dad | Uncle Eddie,none,false,,first person,false,,false,,,false,I,past,,
06F759A6AE5288832724551A752AB0CE,first_cut,The night was rank with the smell of man.,10664113-a-dance-with-dragons,A Dance with Dragons,The night was rank with the smell of man.,first_cut,9780007466061,George R.R. Martin,Bantam,,579265,1125,Fantasy|Fiction|Epic Fantasy|Science Fiction Fantasy|High Fantasy|Dragons|Adult|Adventure|Audiobook|Epic,,epub,false,false,false,description,,none,false,,third person,false,,true,,,false,other,past,,
070A5F0572C2C1E69999182313FF71BE,first_cut,"Every morning, the sun comes up and turns the earth red, and I think: This could be the day when everything changes.",13125947-reached,Reached,"Every morning, the sun comes up and turns the earth red, and I think: This could be the day when everything changes.",first_cut,9780525423669,Ally Condie,Penguin,,149875,512,Young Adult|Dystopia|Romance|Science Fiction|Fiction|Fantasy|Teen|Audiobook|Adventure|Post Apocalyptic|Apocalyptic,"And you, the reader, for taking this journey with Cassia, Ky, and Xander, and with me.",epub,true,false,false,mixed,,dialogue with narration,false,,first person,false,,false,,,false,I,present,morning,every morning
072059D918529A94AA3EDE8E8C281740,llama_cut,"I am what they call in our village “one who has not yet died”–a widow, eighty years old.",40873273-snow-flower-and-the-secret-fan,Snow Flower and the Secret Fan,"I am what they call in our village “one who has not yet died”–a widow, eighty years old.",llama_cut,9780812968064,Lisa See,Random House,2005,339423,288,Historical Fiction|Fiction|China|Historical|Asia|Book Club|Adult|Adult Fiction|Asian Literature|Novels,"“Though I was not as good as you, I believe that heavenly spirits joined us. We will be together forever.”",epub,false,false,false,description,,dialogue with narration,false,,first person,false,,false,our village,,false,I,present,,
073297794064D0A664636B4465F86F5B,normal,"Through the fence, between the curling flower spaces, I could see them hitting.",10975.the_sound_and_the_fury,The Sound and the Fury,"Through the fence, between the curling flower spaces, I could see them hitting.",normal,9780099475019,William Faulkner,Vintage International,1929,162630,366,Classics|Fiction|Literature|Novels|American|20th Century|Southern Gothic|Southern|Literary Fiction|School|Gothic|Academic,They endured.,epub,false,false,false,description,,none,false,,first person,false,,true,,,false,I,past,,
073E418B20B923D3C446E6F01A4D6176,first_cut,Last night I dreamed I went to Manderley again.,17899948-rebecca,Rebecca,Last night I dreamed I went to Manderley again.,first_cut,9780316323703,Daphne du Maurier,"Little, Brown and Company",1938,450276,449,Classics|Fiction|Mystery|Romance|Gothic|Historical Fiction|Thriller|Suspense|Mystery Thriller|Adult,,epub,true,false,false,description,,none,false,Manderley,first person,false,,false,Manderley,time,false,I,past,,last night
07459580EC98F7D44FFF21EE356ABD3B,normal,"“Oh, God.”",15858248-wallbanger,"Wallbanger (Cocktail, #1)","“Oh, God.”",normal,9781623420024,Alice Clayton|Alice Clayton (Goodreads Author),Omnific Publishing,,185808,384,romance|fiction|Romance|Contemporary|Contemporary Romance|Humor|New Adult|Adult|Chick Lit|Erotica|Fiction|Comedy|Womens Fiction|Adult Fiction,,epub,false,false,false,dialogue,,only dialogue,false,God,unclear,false,,false,,,false,other,unclear,,
079D577452CF44DCC57D5A9C133C2F70,first_cut,"If you didn’t know much about the Baudelaire orphans, and you saw them sitting on their suitcases at Damocles Dock, you might think that they were bound for an exciting adventure.",438492.the_wide_window,"The Wide Window (A Series of Unfortunate Events, #3)","If you didn’t know much about the Baudelaire orphans, and you saw them sitting on their suitcases at Damocles Dock, you might think that they were bound for an exciting adventure.",first_cut,9780064407687,"Lemony Snicket|Lemony Snicket (Goodreads Author), Brett Helquist (Illustrator)",HarperCollins Publishers,,159908,214,"fiction|young-adult|children|fantasy, paranormal|mystery, thriller, crime|Fiction|Young Adult|Childrens|Fantasy|Middle Grade|Mystery|Adventure|Humor|Audiobook|Juvenile",But to the three siblings it was enough.,epub,true,true,false,description,Baudelaire orphans,none,false,Damocles Dock,second person,false,dock,true,Damocles Dock,,false,you,past,,
07B476E24107124727F0A28FBCC650AC,subjective,There should have been a dark whisper in the wind. Or maybe a deep chill in the bone. Something.,43933.tell_no_one,Tell No One,There should have been a dark whisper in the wind. Or maybe a deep chill in the bone. Something.,subjective,9780440236702,Harlan Coben|Harlan Coben (Goodreads Author),Dell Publishing Company,,119524,370,"mystery, thriller, crime|fiction|romance|Mystery|Thriller|Fiction|Crime|Suspense|Mystery Thriller|Drama|Adult|Novels|Adult Fiction","The man in the picture was my brother, Ken.",epub,false,false,false,description,,none,true,,third person,false,,false,,,false,it,past,,
07D14DA6691B472895C49C5CF7134C2D,first_cut,Barry Fairbrother did not want to go out to dinner.,13497818-the-casual-vacancy,The Casual Vacancy,Barry Fairbrother did not want to go out to dinner.,first_cut,9780316228534,J.K. Rowling,"Little, Brown and Company",,313167,503,"fiction|mystery, thriller, crime|fantasy, paranormal|Fiction|Contemporary|Mystery|Adult|Adult Fiction|Drama|Unfinished|British Literature|Novels|Audiobook|European Literature",,epub,false,false,false,description,Barry Fairbrother,none,false,,third person,false,,false,,,false,person,past,,
07E344426BD9D1F0690E9B99E5BD5B0C,first_uncut,"It was November. Although it was not yet late, the sky was dark when I turned into Laundress Passage.",40440.the_thirteenth_tale,The Thirteenth Tale,"It was November. Although it was not yet late, the sky was dark when I turned into Laundress Passage.",first_uncut,9780743298025,Diane Setterfield|Diane Setterfield (Goodreads Author),,,272208,406,"fiction|mystery, thriller, crime|history, historical fiction, biography|fantasy, paranormal|young-adult|romance|Fiction|Mystery|Historical Fiction|Gothic|Books About Books|Adult|Historical|Fantasy|Book Club|Adult Fiction",She had come and she had gone.,epub,true,false,false,description,,none,false,Laundress Passage,first person,false,urban,true,Laundress Passage,time,false,it,past,autumn,November
